ID,TYPE,FRACTURE,FINECRAZING,DEEPCRACKING,COLORCHANGES,CARBONDEPOSITION,CONCRETIONS,WEIGHT
A6-5541,FCR,SMOOTH,False,False,REDDENING,True,False,38
A1-3104,FCR,JAGGED,False,False,NA,True,True,15
A1-3167,FCR,JAGGED,False,False,NA,True,True,20
A1-3803,FCR,JAGGED,False,False,NA,True,True,33
A1-3812,FCR,JAGGED,NA,False,NA,True,True,20
A6-5600,PEBBLE,,False,False,DISCOLORATION,True,True,34
A6-5598,FCR,SMOOTH,NA,False,NA,True,True,9
A1-3393,FCR,JAGGED,False,False,NA,True,True,26
A6-5544,FCR,JAGGED,False,False,REDDENING,True,True,59
A1-3043,FCR,SMOOTH,False,False,DISCOLORATION,True,True,23
A1-3225,PEBBLE,,False,False,DISCOLORATION,True,False,21
A1-3807,PEBBLE,,False,False,DISCOLORATION,True,True,47
A1-3815,PEBBLE,,False,False,NA,True,False,15
A1-3219,FCR,JAGGED,False,False,REDDENING,True,True,12
A1-3233,FCR,SMOOTH,False,False,NA,True,False,11
A1-3252,FCR,BOTH,False,False,DISCOLORATION,True,False,17
A1-3498,FCR,BOTH,False,False,NA,True,True,40
A6-5539,FCR,JAGGED,False,False,NA,True,True,78
A1-3805,PEBBLE,,False,False,DISCOLORATION,True,False,20
A1-3020,PEBBLE,,False,False,DISCOLORATION,True,False,21
A1-3159,FCR,JAGGED,False,False,DISCOLORATION,True,False,18
A1-3195,FCR,BOTH,False,False,NA,True,False,27
A1-3229,FCR,JAGGED,False,False,REDDENING,True,False,12
A1-3089,FCR,JAGGED,False,False,REDDENING,True,False,17
A1-3253,FCR,SMOOTH,False,False,NA,True,False,17
A1-3083,FCR,SMOOTH,False,False,NA,True,False,11
A1-3019,FCR,BOTH,NA,False,DISCOLORATION,True,False,76
A1-2933,FCR,JAGGED,False,False,NA,True,True,78
A1-3072,FCR,SMOOTH,False,False,NA,True,True,104
A1-3066,FCR,JAGGED,False,False,DISCOLORATION,True,True,50
A6-5571,FCR,JAGGED,False,False,REDDENING,True,False,27
A1-2934,PEBBLE,,True,False,DISCOLORATION,True,True,169
A6-5542,FCR,BOTH,False,False,NA,False,False,8
A1-2853,FCR,SMOOTH,False,False,DISCOLORATION,True,True,52
A1-3125,FCR,JAGGED,True,False,NA,True,False,14
A6-5540,FCR,BOTH,NA,False,NA,True,False,48
A1-3025,FCR,JAGGED,False,False,NA,True,False,20
A1-3070,FCR,JAGGED,False,True,REDDENING,True,False,38
A1-3816,FCR,JAGGED,False,False,DISCOLORATION,True,True,56
A1-2866,PEBBLE,,False,True,DISCOLORATION,True,True,76
A1-2861,FCR,BOTH,False,False,NA,True,False,41
A1-3379,FCR,BOTH,False,False,BOTH,True,False,10
A1-3068,PEBBLE,,False,False,REDDENING,True,True,77
A1-3214,PEBBLE,,False,False,NA,True,True,50
A1-2846,FCR,SMOOTH,False,False,DISCOLORATION,True,True,89
A1-3005,FCR,BOTH,True,False,REDDENING,True,True,33
A1-3031,FCR,SMOOTH,NA,False,NA,True,False,63
A1-2864,FCR,BOTH,NA,False,NA,True,True,108
A1-2898,FCR,JAGGED,True,False,NA,True,True,82
A1-2890,FCR,SMOOTH,NA,False,NA,True,True,124
A1-3014,FCR,BOTH,False,False,NA,True,False,22
A1-2905,FCR,JAGGED,False,False,NA,True,True,40
A6-5543,FCR,SMOOTH,False,False,DISCOLORATION,True,False,8
A1-3009,PEBBLE,,False,False,NA,True,True,85
A1-3088,FCR,JAGGED,False,False,REDDENING,True,False,35
A1-3013,PEBBLE,,False,False,NA,True,False,16
A1-3001,FCR,SMOOTH,False,False,NA,True,True,78
A1-2844,FCR,JAGGED,False,False,NA,True,True,109
A1-2917,FCR,BOTH,False,False,NA,True,True,49
A1-2979,PEBBLE,,False,False,NA,True,False,20
A1-2930,FCR,JAGGED,False,False,DISCOLORATION,True,True,15
A1-3819,PEBBLE,,False,False,DISCOLORATION,True,False,32
A1-2990,FCR,SMOOTH,False,False,NA,True,False,18
A1-3220,PEBBLE,,False,False,REDDENING,True,True,11
A1-2961,FCR,JAGGED,False,False,NA,True,True,36
A1-3065,FCR,JAGGED,False,False,NA,True,False,17
A1-3074,FCR,BOTH,NA,False,REDDENING,True,True,49
A1-2884,FCR,BOTH,False,False,NA,True,False,14
A1-2859,FCR,JAGGED,False,False,NA,True,False,6
A1-2863,PEBBLE,,False,False,DISCOLORATION,True,False,10
A1-2885,FCR,JAGGED,False,False,NA,True,True,43
A1-2947,PEBBLE,,False,False,REDDENING,False,False,14
A1-2889,FCR,BOTH,False,False,NA,True,True,4
A1-2871,FCR,JAGGED,False,False,NA,True,False,30
A1-2862,FCR,SMOOTH,NA,False,NA,True,False,3
A1-2946,FCR,JAGGED,NA,False,NA,True,True,6
A1-2845,PEBBLE,,False,False,BOTH,True,True,74
A1-3000,FCR,BOTH,False,False,NA,True,True,24
A1-3004,PEBBLE,,False,False,NA,True,False,6
A1-3038,PEBBLE,,False,False,NA,True,True,13
A1-2848,PEBBLE,,False,False,NA,True,False,24
A1-3076,FCR,BOTH,False,False,NA,True,True,18
A1-3023,PEBBLE,,False,False,NA,True,False,19
A1-2980,PEBBLE,,False,False,NA,True,False,49
A1-2978,PEBBLE,,False,False,BOTH,True,True,8
A1-2932,FCR,BOTH,False,False,NA,True,True,22
A1-2929,FCR,JAGGED,False,False,NA,True,True,5
A1-3021,FCR,JAGGED,False,False,REDDENING,True,False,17
A1-3044,PEBBLE,,False,False,NA,True,True,65
A1-3362,FCR,JAGGED,False,False,NA,True,False,38
A1-3579,FCR,BOTH,False,False,REDDENING,True,False,17
A1-3625,FCR,BOTH,False,False,NA,True,False,9
A1-3584,FCR,SMOOTH,True,False,NA,False,False,8
A1-2870,PEBBLE,,False,False,NA,True,True,19
A1-3063,FCR,SMOOTH,False,False,REDDENING,True,False,13
A1-3566,PEBBLE,,False,False,NA,True,False,24
A1-3485,FCR,JAGGED,False,False,NA,True,False,11
A1-3366,FCR,BOTH,False,False,NA,True,False,19
A1-3554,PEBBLE,,False,False,NA,True,False,56
A1-3412,FCR,SMOOTH,False,False,NA,True,False,6
A1-3622,PEBBLE,,False,False,DISCOLORATION,True,False,20
A1-3549,FCR,BOTH,False,False,NA,True,False,25
A6-5547,PEBBLE,,False,False,NA,False,False,22
A1-3360,PEBBLE,,False,False,NA,True,True,24
A1-3454,FCR,JAGGED,False,False,NA,True,False,12
A1-2888,PEBBLE,,False,False,NA,True,True,21
A1-3136,FCR,BOTH,False,False,NA,True,False,11
A1-3162,FCR,SMOOTH,False,False,NA,True,False,19
A1-2860,PEBBLE,,False,False,NA,True,False,13
A1-3008,PEBBLE,,False,False,NA,True,False,44
A1-3564,FCR,SMOOTH,False,False,NA,True,False,8
A1-2867,FCR,BOTH,NA,False,NA,True,False,15
A1-3012,FCR,JAGGED,False,False,NA,False,False,10
A1-2906,PEBBLE,,False,False,NA,True,False,2
A1-3764,FCR,JAGGED,False,False,NA,True,False,11
A1-3464,FCR,JAGGED,False,False,NA,False,False,8
A1-2968,PEBBLE,,False,False,NA,False,False,15
A1-3042,FCR,BOTH,False,False,NA,True,True,12
A1-3321,PEBBLE,,False,True,DISCOLORATION,True,True,46
A1-3478,FCR,JAGGED,False,False,NA,True,False,8
A1-3604,PEBBLE,,True,False,NA,True,True,54
A1-3024,FCR,BOTH,NA,False,NA,False,False,7
A1-3161,PEBBLE,,False,True,NA,False,False,14
A1-3414,PEBBLE,,True,False,REDDENING,True,False,34
A1-3003,PEBBLE,,False,False,NA,True,False,14
A1-3493,PEBBLE,,False,False,NA,False,False,15
A6-5548,PEBBLE,,False,False,NA,False,False,21
A6-3952,FCR,JAGGED,False,False,NA,False,False,51
A6-4972,FCR,JAGGED,False,False,NA,True,True,40
A6-4973,FCR,SMOOTH,False,False,NA,True,False,42
A6-4014,FCR,JAGGED,False,False,NA,True,True,17
6-9603A\,FCR,JAGGED,False,False,NA,True,False,38
A6-3833,PEBBLE,,False,False,NA,True,False,34
A6-3943,FCR,JAGGED,False,False,NA,True,False,22
A6-3802,FCR,BOTH,False,False,NA,False,False,12
A6-4946,PEBBLE,,False,False,NA,True,False,23
A6-4974,FCR,JAGGED,False,False,NA,True,True,28
A6-3832,FCR,SMOOTH,False,False,NA,False,False,11
A6-3997,FCR,JAGGED,False,False,NA,True,False,22
A6-4938,PEBBLE,,False,True,NA,True,False,57
A6-3843,FCR,JAGGED,False,False,NA,False,False,13
A6-3906,FCR,JAGGED,False,False,NA,True,False,67
A6-4960,FCR,BOTH,False,False,NA,True,True,36
A6-4939,FCR,BOTH,False,False,NA,True,True,65
A6-4915,FCR,BOTH,False,True,NA,False,True,37
A6-4950,FCR,SMOOTH,NA,False,DISCOLORATION,True,True,16
A6-3800,FCR,BOTH,False,True,REDDENING,False,False,24
A6-4932,FCR,SMOOTH,False,False,NA,True,True,9
A1-533,FCR,JAGGED,False,False,NA,False,True,53
A1-525,PEBBLE,,NA,False,NA,True,True,74
A1-532,FCR,JAGGED,False,False,REDDENING,False,True,13
A1-543,FCR,BOTH,False,True,NA,True,True,46
A1-541,FCR,BOTH,False,False,NA,False,True,28
A1-535,FCR,BOTH,False,False,NA,True,False,19
A1-527,PEBBLE,,False,False,NA,True,False,22
A1-523,FCR,SMOOTH,NA,False,NA,True,True,67
A1-526,FCR,JAGGED,False,False,NA,True,True,16
A1-524,FCR,JAGGED,False,False,NA,False,False,38
A1-530,FCR,SMOOTH,False,False,NA,True,False,1545
A1-545,FCR,JAGGED,False,False,NA,False,False,16
A1-529,FCR,JAGGED,False,False,NA,True,False,25
A1-511,FCR,JAGGED,False,False,REDDENING,True,True,9
A1-485,FCR,JAGGED,False,False,NA,True,True,19
A1-442,PEBBLE,,False,False,NA,True,False,19
A1-500,FCR,JAGGED,False,False,NA,True,True,33
A1-464,FCR,JAGGED,False,False,NA,True,False,1475
A1-475,PEBBLE,,False,False,NA,False,True,11
A1-479,FCR,SMOOTH,False,False,NA,True,True,34
A1-514,PEBBLE,,False,False,NA,True,True,17
A1-508,FCR,JAGGED,False,True,NA,True,True,50
A1-501,FCR,JAGGED,False,False,REDDENING,True,True,55
A1-513,PEBBLE,,False,False,NA,True,True,17
A1»463,PEBBLE,,A1»463,True,A1»463,A1-463,A1-463,1463
A1-463,PEBBLE,,False,False,NA,True,False,14
A1-510,FCR,JAGGED,False,False,NA,True,False,66
A1-471,PEBBLE,,False,False,NA,True,True,13
A1-516,FCR,JAGGED,False,False,NA,True,True,23
7A1-459,PEBBLE,,False,False,NA,True,False,33
A1-499,FCR,SMOOTH,False,False,NA,True,False,33
A1-489,PEBBLE,,False,False,NA,True,True,27
A1-456,PEBBLE,,False,False,REDDENING,True,False,41
A1-444,FCR,BOTH,False,False,NA,True,False,5
A1-461,FCR,BOTH,False,False,NA,True,True,11
A1-518,PEBBLE,,False,False,NA,True,False,86
A1-503,FCR,BOTH,False,False,DISCOLORATION,True,False,53
A1-448,-1-448,,False,False,REDDENING,True,False,16
A1-492,PEBBLE,,False,False,NA,True,True,33
A1-519,FCR,BOTH,False,False,REDDENING,True,True,22
A1-498,FCR,BOTH,False,False,REDDENING,True,True,26
A1-445,FCR,JAGGED,False,False,NA,True,False,11
A1-447,PEBBLE,,False,False,NA,True,False,32
A1-446,PEBBLE,,False,False,NA,True,False,10
A1-451,FCR,BOTH,False,False,DISCOLORATION,True,True,16
A1-506,PEBBLE,,False,False,NA,True,False,6
A1-482,FCR,BOTH,False,True,NA,True,True,74
A1-505,PEBBLE,,False,False,DISCOLORATION,True,True,71
A1-481,PEBBLE,,False,False,NA,True,False,40
A1-486,PEBBLE,,False,False,NA,True,False,88
A1-504,FCR,JAGGED,False,False,NA,True,True,6
A6-2747,FCR,JAGGED,False,False,NA,True,True,11
A6-2720,PEBBLE,,False,False,REDDENING,False,False,15
A6-2719,FCR,JAGGED,False,False,NA,True,True,10
A6-2718,FCR,JAGGED,False,False,NA,True,False,9
A6-2710,FCR,SMOOTH,False,False,REDDENING,False,False,27
A6-2713,FCR,JAGGED,False,True,REDDENING,False,True,19
A6-2736,PEBBLE,,False,False,NA,False,False,17
A6-2727,A6-2727,,False,False,REDDENING,False,True,48
A6-2721,FCR,BOTH,False,False,NA,False,False,15
A6-2743,PEBBLE,,False,False,NA,False,False,28
A6-2735,PEBBLE,,False,False,REDDENING,False,False,27
A6-2740,PEBBLE,,False,False,NA,False,False,92
F4-642,PEBBLE,,False,False,NA,True,False,53
A6-1332,FCR,JAGGED,False,False,REDDENING,False,False,18
A6-1465,FCR,SMOOTH,False,False,DISCOLORATION,False,False,76
A6-1318,FCR,BOTH,False,False,BOTH,False,False,13
A6-1309,PEBBLE,,False,True,REDDENING,False,False,43
A1-383,PEBBLE,,False,False,REDDENING,False,False,37
A1-302,FCR,SMOOTH,False,False,NA,False,False,11
L6-288,PEBBLE,,False,False,BOTH,False,False,7
L6-307,FCR,SMOOTH,False,False,DISCOLORATION,False,False,15
A6-1418,FCR,SMOOTH,False,False,REDDENING,False,True,23
A6-1475,FCR,BOTH,False,False,REDDENING,False,False,13
L6-321,PEBBLE,,False,False,DISCOLORATION,False,False,22
A6-1452,PEBBLE,,False,False,DISCOLORATION,False,False,12
A6-1353,PEBBLE,,False,False,NA,False,False,12
A6-1450,PEBBLE,,False,False,NA,False,False,10
A6-1346,FCR,BOTH,False,False,REDDENING,False,False,6
A6-1316,FCR,BOTH,False,False,REDDENING,False,False,33
A6-1339,PEBBLE,,False,False,DISCOLORATION,False,True,37
A6-1427,FCR,BOTH,False,False,BOTH,False,True,33
E1-197,FCR,JAGGED,False,False,NA,False,True,11
A1-320,FCR,JAGGED,False,False,DISCOLORATION,False,False,23
A6-1443,FCR,BOTH,False,False,NA,False,False,19
F1-323,FCR,BOTH,False,False,BOTH,True,True,53
A6-1394,FCR,JAGGED,False,False,NA,False,True,9
L6-339,PEBBLE,,False,False,DISCOLORATION,True,False,12
L6-331,FCR,SMOOTH,False,False,BOTH,True,False,29
L6-260,PEBBLE,,False,False,NA,False,False,91
